room_number,green,red,red_blinking,yellow,count,red_blinking_rate,red_rate,red_yellow_rate
e301,56134,1529,802,5039,63504,0.01262912572436382,0.024077223481985387,0.0793493323255228
e010,40442,1109,303,3604,45458,0.00666549342249989,0.024396145892912138,0.07928197456993269
e201,56474,1550,539,4844,63407,0.008500638730739508,0.02444525052439005,0.07639535067106155
e305,58745,1377,380,4741,65243,0.0058243796269331575,0.021105712490228835,0.072666799503395
e003,40300,973,512,3201,44986,0.011381318632463434,0.021628951229271328,0.07115547059085049
e302,50810,592,191,3888,55481,0.0034426199960346784,0.010670319568861412,0.07007804473603577
e103,48701,955,243,3759,53658,0.004528681650452868,0.01779790525177979,0.07005479145700548
e002,39333,741,440,3037,43551,0.010103097517852632,0.017014534683474546,0.06973433445845101
e303,42300,571,103,2985,45959,0.0022411279618790663,0.012424117147892688,0.06494919384668944
e101,45557,597,251,3008,49413,0.005079634913889058,0.012081840811122579,0.06087466860947524
e104,51811,755,317,3409,56292,0.005631350813614724,0.013412207773751154,0.0605592268883678
e004,63302,1230,438,4129,69099,0.006338731385403551,0.017800547041201754,0.05975484449847321
e306,54498,1036,220,3502,59256,0.0037127041987309304,0.01748346159038747,0.05909950047252599
e311,43059,1353,522,2802,47736,0.010935143288084464,0.028343388637506284,0.058697838109602815
e213,46012,462,73,2868,49415,0.0014772842254376201,0.009349387837701104,0.05803905696650814
e304,56943,933,499,3558,61933,0.008057093956372208,0.015064666655902345,0.057449178951447535
e102,38551,391,213,2076,41231,0.005166015861851519,0.009483155877858893,0.05035046445635565
e113,50758,565,346,2451,54120,0.00639320029563932,0.010439763488543976,0.045288248337028825
e203,28995,138,71,1228,30432,0.0023330704521556255,0.004534700315457414,0.040352260778128285
e001,134614,864,398,2932,138808,0.0028672698979885884,0.006224425105181257,0.021122701861564175
e206,32070,26,8,524,32628,0.000245188181929631,0.0007968615912713007,0.01605982591639083
e109,31279,5,22,320,31626,0.0006956301777018909,0.00015809776765952064,0.010118257130209321
e208,37797,1,0,363,38161,0.0,2.6204764026099946e-05,0.00951232934147428
e106,35616,4,7,300,35927,0.0001948395357252206,0.00011133687755726891,0.008350265816795169
eu02,1731,0,0,0,1731,0.0,0.0,0.0
eu07,1745,0,0,0,1745,0.0,0.0,0.0
eu08,1715,0,0,0,1715,0.0,0.0,0.0
eu09,1696,0,0,0,1696,0.0,0.0,0.0
